category,sub_category,company_url
"Aliments, boissons & tabac",Fournisseur de bières,https://fr.trustpilot.com/review/tribulle.fr
"Aliments, boissons & tabac",Fournisseur de produits alimentaires,https://fr.trustpilot.com/review/unmondevegan.com
"Aliments, boissons & tabac",Grossiste de produits,https://fr.trustpilot.com/review/famillevacher.fr
"Aliments, boissons & tabac",Grossiste en vins et spiritueux,https://fr.trustpilot.com/review/illivino.com
"Aliments, boissons & tabac",Livraison de repas à domicile,https://fr.trustpilot.com/review/gocater.fr
"Aliments, boissons & tabac",Magasin d'alcool,https://fr.trustpilot.com/review/drinksco.fr
"Aliments, boissons & tabac",Magasin d'alimentation bio,https://fr.trustpilot.com/review/nutri-naturel.com
"Aliments, boissons & tabac",Magasin de bonbons,https://fr.trustpilot.com/review/www.chocolats-rosa.fr
"Aliments, boissons & tabac",Magasin de bonbons,https://fr.trustpilot.com/review/mistral-bonbon.fr
"Aliments, boissons & tabac",Magasin de bonbons,https://fr.trustpilot.com/review/auroremarket.fr
"Aliments, boissons & tabac",Magasin de bonbons,https://fr.trustpilot.com/review/www.kidicakes.com
"Aliments, boissons & tabac",Magasin de bonbons,https://fr.trustpilot.com/review/myamericanmarket.com
"Aliments, boissons & tabac",Magasin de bonbons,https://fr.trustpilot.com/review/kitkatmania.com
"Aliments, boissons & tabac",Magasin de bonbons,https://fr.trustpilot.com/review/boutiqueenligne.cluizel.com
"Aliments, boissons & tabac",Magasin de bonbons,https://fr.trustpilot.com/review/faller.fr
"Aliments, boissons & tabac",Magasin de bonbons,https://fr.trustpilot.com/review/bonbonvore.fr
"Aliments, boissons & tabac",Magasin de bonbons,https://fr.trustpilot.com/review/www.fossier.fr
"Aliments, boissons & tabac",Magasin de bonbons,https://fr.trustpilot.com/review/entrepotitalien.fr
"Aliments, boissons & tabac",Magasin de bonbons,https://fr.trustpilot.com/review/tontonpierrot.com
"Aliments, boissons & tabac",Magasin de bonbons,https://fr.trustpilot.com/review/candydukes.com
"Aliments, boissons & tabac",Magasin de cannabis,https://fr.trustpilot.com/review/mamiejuana.com
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/www.levapoteur-discount.fr
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/eliquidandco.com
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/houseofvapes.fr
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/electronique-cigarette.org
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/www.vapoter.fr
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/www.electrocigarette.fr
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/ecovapo.fr
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/www.vincentdanslesvapes.fr
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/namastevapes.fr
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/cigastar.com
